taz,sum,max,min,mean,std,25p,50p,75p
355,1828.35,31.25,0.2,10.88,9.02,4.0,7.75,17.56
356,1036.9,17.25,0.0,6.17,4.43,2.4,5.62,9.6
357,3589.25,80.5,1.0,21.36,16.77,9.4,16.75,28.2
358,3350.1,59.0,0.4,19.94,16.66,6.15,14.75,32.34
359,2855.05,56.75,0.2,16.99,12.74,6.95,15.0,24.29
360,4106.25,84.25,0.0,24.44,19.56,10.3,19.32,36.06
361,1683.7,34.0,0.0,10.02,8.84,2.8,6.62,15.88
362,4558.1,81.75,1.6,27.13,18.65,11.38,25.4,37.06
363,2818.6,44.25,0.2,16.78,12.5,6.85,12.7,27.46
364,4772.4,118.0,1.0,28.41,24.14,11.38,21.32,41.12
365,1689.7,36.0,0.2,10.06,7.42,4.2,8.78,14.56
366,3647.2,62.5,0.4,21.71,16.17,9.19,16.23,35.12
367,6066.05,120.25,1.2,36.11,32.33,10.69,22.12,58.38
368,2486.85,61.75,0.0,14.8,15.35,3.36,7.45,23.9
369,3633.3,70.0,1.0,21.63,16.5,9.35,17.12,29.81
370,2795.25,51.25,0.4,16.64,13.78,6.32,11.1,26.38
371,1739.75,31.5,0.0,10.36,8.96,2.8,6.2,18.1
372,1545.9,44.0,0.0,9.2,7.79,3.0,9.0,12.05
373,6102.5,166.25,0.6,36.32,37.24,9.75,22.5,53.38
374,1089.05,23.0,0.0,6.48,5.77,1.95,4.0,11.0
375,1708.1,31.25,0.2,10.17,8.57,3.24,6.75,17.0
376,2224.8,51.25,0.5,13.24,12.29,4.0,8.5,19.29
377,1776.05,37.75,0.0,10.57,8.55,3.58,8.0,16.0
378,3471.55,63.0,0.8,20.66,16.48,8.3,14.5,30.52
379,1259.85,28.75,0.0,7.5,6.83,2.0,5.4,10.56
380,3052.5,47.75,0.6,18.17,12.41,9.15,15.55,26.45
381,1842.2,38.0,0.0,10.97,9.3,3.3,8.7,17.06
382,1997.0,37.75,0.0,11.89,10.12,3.95,8.5,19.81
383,1879.1,34.75,0.25,11.19,9.45,3.8,7.7,17.81
384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,235.0,4.4,0.0,1.4,1.07,0.5,1.2,2.05
387,6.45,1.25,0.0,0.04,0.14,0.0,0.0,0.0
388,143.1,3.0,0.0,0.85,0.61,0.4,0.75,1.25
389,209.4,5.2,0.0,1.25,0.94,0.5,1.0,1.75
