taz,sum,max,min,mean,std,25p,50p,75p
659,1902.3,31.75,0.4,11.32,6.92,6.1,11.12,15.85
660,540.2,11.0,0.0,3.22,2.57,1.2,2.4,4.64
661,1027.85,17.75,0.2,6.12,4.59,2.36,5.1,9.29
662,1064.3,18.25,0.2,6.34,3.75,3.75,5.78,8.76
663,2422.25,33.0,0.4,14.42,8.63,6.54,14.25,21.25
664,1161.9,19.5,0.0,6.92,4.52,3.0,7.22,10.29
665,2335.5,35.5,0.4,13.9,8.05,7.72,13.68,18.75
666,2193.7,40.75,0.0,13.06,8.79,5.81,12.78,18.0
667,3427.9,64.25,0.6,20.4,14.42,6.95,22.1,28.6
668,531.95,12.25,0.0,3.17,2.32,1.25,3.0,4.5
669,1412.4,27.75,0.25,8.41,5.6,3.95,7.32,11.39
670,1345.35,17.5,0.2,8.01,4.51,5.0,8.2,10.85
671,1423.35,25.5,0.2,8.47,6.42,3.71,6.45,12.21
672,3008.05,44.0,0.4,17.91,11.38,5.79,20.3,25.45
673,3575.5,66.75,0.8,21.28,12.9,10.15,22.42,30.76
674,265.0,6.25,0.0,1.58,1.28,0.5,1.25,2.5
675,430.2,11.5,0.0,2.56,2.21,1.0,2.0,3.75
676,632.2,11.25,0.25,3.76,2.61,1.8,2.68,5.56
677,642.05,10.5,0.0,3.82,2.69,1.5,3.25,6.21
678,1626.7,37.0,0.0,9.68,8.13,2.58,8.12,12.81
679,3527.25,48.5,0.8,21.0,12.57,8.79,21.1,31.06
680,1130.05,17.25,0.0,6.73,4.03,3.58,6.6,9.06
681,1240.45,26.0,0.0,7.38,4.77,3.58,6.9,10.8
682,1776.05,28.25,0.75,10.57,6.45,4.94,10.62,14.75
683,3129.1,61.0,1.4,18.63,11.81,9.09,18.2,25.06
684,3946.4,67.0,1.0,23.49,15.03,11.15,25.0,33.06
685,3163.3,54.5,0.4,18.83,12.58,6.94,20.4,27.05
686,1000.3,15.5,0.0,5.95,3.9,3.0,5.4,8.25
687,1168.4,18.0,0.2,6.95,3.81,4.25,6.75,9.64
688,768.3,28.5,0.0,4.57,5.14,1.25,3.25,5.81
689,813.5,10.5,0.6,4.84,2.56,2.75,4.32,6.76
690,5156.85,112.0,0.4,30.7,23.08,13.14,28.22,42.94
691,1936.65,62.75,0.0,11.53,10.31,4.36,9.1,15.64
692,1695.55,46.5,0.4,10.09,8.63,5.2,8.0,12.0
693,1916.8,78.5,0.0,11.41,13.23,2.0,7.0,15.05
694,1709.45,47.0,0.0,10.18,9.34,2.35,8.4,14.52
695,1074.65,18.0,0.2,6.4,4.02,3.35,6.25,9.29
696,2359.15,73.75,0.0,14.04,16.09,3.0,7.78,19.05
697,735.05,13.5,0.0,4.38,3.09,1.48,4.5,6.43
698,1119.65,16.0,0.0,6.66,4.0,4.0,6.5,9.21
699,1689.2,32.25,0.6,10.05,7.36,4.71,7.75,13.81
700,1492.3,36.25,0.75,8.88,6.68,4.19,7.22,12.0
701,2269.4,51.5,0.8,13.51,10.9,5.71,9.5,19.5
702,1386.9,23.25,0.2,8.26,5.16,3.8,7.4,11.49
703,2170.9,35.5,1.0,12.92,7.62,7.1,12.45,17.42
704,3953.0,68.75,1.6,23.53,14.46,10.55,22.75,33.0
705,2608.8,62.75,0.0,15.53,13.35,4.75,11.8,22.06
706,1111.35,18.5,0.25,6.62,4.04,3.35,6.4,9.5
707,1704.1,34.0,0.4,10.14,7.35,4.4,7.9,14.85
708,1944.1,33.5,1.2,11.57,8.53,4.6,8.25,16.9
709,856.45,12.2,0.0,5.1,2.98,2.69,5.32,7.43
710,1121.1,24.5,0.25,6.67,4.86,3.19,5.25,9.81
711,3460.0,64.5,1.8,20.6,15.31,7.88,15.9,29.12
712,3263.5,79.0,0.8,19.43,17.37,7.0,13.22,27.31
713,4763.35,93.5,2.0,28.35,20.5,10.79,25.42,42.39
714,1685.9,25.5,0.0,10.04,6.7,4.95,9.0,14.85
715,1326.85,19.0,0.0,7.9,4.75,3.36,8.5,11.25
716,429.7,11.0,0.0,2.56,2.32,0.79,1.78,3.76
717,454.4,8.5,0.0,2.7,2.04,1.25,2.25,4.0
718,1207.45,14.8,0.25,7.19,3.54,4.0,7.55,9.8
719,338.25,8.0,0.0,2.01,1.81,0.5,1.6,3.2
720,230.7,5.75,0.0,1.37,1.27,0.25,1.0,2.2
721,309.75,5.75,0.0,1.84,1.5,0.6,1.5,3.0
722,734.8,16.0,0.0,4.37,3.21,2.1,3.5,6.29
723,1137.85,19.0,0.0,6.77,4.72,1.95,6.9,10.5
724,1375.4,20.75,0.25,8.19,5.4,3.48,7.75,12.0
725,625.75,11.0,0.0,3.72,2.61,1.25,3.6,5.64
726,2868.6,68.2,0.0,17.08,14.76,6.09,15.7,21.88
727,1639.5,31.25,0.2,9.76,6.61,4.09,9.78,13.81
728,513.05,11.25,0.0,3.05,2.56,1.0,2.2,4.81
729,1073.4,21.25,0.2,6.39,4.62,2.5,5.75,9.85
730,2898.35,59.75,0.5,17.25,11.95,7.12,16.1,24.0
731,4544.85,56.0,2.0,27.05,13.87,18.88,28.75,36.65
732,1903.15,41.25,0.2,11.33,7.65,5.5,10.5,15.4
733,3678.4,97.0,1.2,21.9,18.44,7.95,15.25,31.56
734,2136.6,36.75,0.4,12.72,9.36,5.35,9.0,19.12
735,2958.55,51.0,0.6,17.61,12.27,5.95,17.7,24.85
736,4983.8,86.5,1.0,29.67,20.89,8.66,29.1,43.6
737,34.5,1.5,0.0,0.21,0.34,0.0,0.0,0.25
738,405.1,14.2,0.0,2.41,2.51,0.57,1.75,3.5
739,382.75,14.0,0.0,2.28,2.5,0.5,1.6,3.0
740,3460.35,86.25,0.5,20.6,18.28,7.14,17.0,25.0
741,858.9,22.75,0.0,5.11,4.2,2.0,4.1,6.8
742,8481.0,135.8,1.2,50.48,32.02,22.06,51.02,71.45
743,3868.7,81.0,0.6,23.03,18.49,9.06,19.88,35.52
744,4814.2,77.75,0.6,28.66,18.53,12.66,30.2,40.6
745,3868.65,83.25,0.4,23.03,15.68,8.75,23.9,31.78
746,1975.0,30.0,0.25,11.76,7.68,4.32,12.32,17.8
747,2461.95,34.5,0.0,14.65,10.2,3.66,17.55,22.42
748,1157.65,19.2,0.0,6.89,4.81,2.19,7.22,9.85
749,1302.35,21.75,0.0,7.75,5.58,2.19,8.2,12.21
750,481.85,7.5,0.0,2.87,1.8,1.36,3.1,4.0
751,887.4,16.25,0.0,5.28,3.73,2.2,5.1,7.6
752,1627.4,27.0,0.4,9.69,5.75,4.57,10.12,13.29
753,1230.15,27.25,0.0,7.32,5.75,2.24,6.45,11.58
754,1197.0,18.75,0.0,7.12,5.38,1.48,7.12,11.29
755,286.05,7.75,0.0,1.7,1.5,0.48,1.4,2.6
756,222.35,4.5,0.0,1.32,1.12,0.25,1.0,2.0
757,669.4,13.6,0.0,3.98,3.16,1.0,3.8,5.85
758,252.85,7.75,0.0,1.51,1.36,0.48,1.2,2.25
759,152.4,4.25,0.0,0.91,0.81,0.25,0.75,1.5
760,1801.5,30.0,0.2,10.72,7.14,4.47,9.75,15.81
761,3190.5,53.0,0.4,18.99,13.46,8.57,16.45,27.0
762,2191.4,51.5,0.2,13.04,10.05,3.88,12.22,19.76
763,2717.2,45.25,0.2,16.17,11.49,5.35,15.95,22.85
764,2928.35,69.0,0.4,17.43,14.55,6.94,14.0,21.5
765,1295.7,17.5,0.0,7.71,4.44,3.66,8.25,10.76
766,1640.6,25.0,0.0,9.77,6.27,4.47,9.6,13.56
767,2834.7,49.5,0.6,16.87,11.45,8.32,14.78,23.62
768,2335.35,32.5,0.0,13.9,7.82,8.15,14.1,19.5
769,1123.0,18.75,0.0,6.68,5.34,2.44,5.0,10.27
770,2508.65,41.75,0.2,14.93,10.14,6.75,13.0,22.12
771,2617.7,87.25,0.2,15.58,16.0,5.1,10.25,22.06
772,5198.8,94.25,0.6,30.95,24.98,9.71,26.0,49.52
773,1454.6,41.5,0.0,8.66,7.67,3.5,7.38,10.21
774,1332.8,38.0,0.0,7.93,7.9,2.5,5.8,10.56
775,1088.85,28.0,0.0,6.48,5.81,1.8,5.45,9.0
776,1521.9,46.75,0.0,9.06,10.13,1.79,6.45,11.29
777,1080.55,22.75,0.0,6.43,4.9,2.2,5.75,9.5
778,618.4,9.0,0.0,3.68,2.33,1.66,3.78,5.25
779,616.5,10.5,0.0,3.67,2.81,1.0,3.2,5.8
780,1253.45,36.75,0.0,7.46,8.62,1.58,4.32,9.5
781,507.4,13.2,0.0,3.02,2.94,0.79,2.4,4.0
782,1219.15,24.0,0.0,7.26,5.2,2.94,6.75,10.25
783,2054.05,54.75,0.0,12.23,9.89,5.0,11.0,16.52
784,1305.45,20.25,0.0,7.77,4.55,4.09,8.25,11.05
785,1999.25,36.0,0.4,11.9,6.95,7.38,12.1,15.52
786,2332.15,40.5,0.4,13.88,9.81,4.95,13.22,19.7
787,2207.0,47.5,0.0,13.14,10.19,5.75,12.12,16.85
788,888.65,17.5,0.0,5.29,4.02,2.0,4.5,7.75
789,1985.1,55.0,0.0,11.82,11.26,3.0,8.78,15.86
790,1890.0,46.5,0.0,11.25,10.53,2.6,8.4,16.21
791,975.9,21.75,0.2,5.81,4.4,2.25,5.0,8.34
792,917.6,21.0,0.0,5.46,4.3,1.95,4.75,8.0
793,1508.65,33.75,0.0,8.98,6.41,3.5,8.6,12.75
794,1324.95,25.5,0.0,7.89,6.02,3.44,7.22,11.25
795,1096.0,20.25,0.0,6.52,4.96,2.5,5.38,9.45
796,469.6,10.75,0.0,2.8,2.21,1.0,2.5,4.05
797,1174.1,26.25,0.0,6.99,5.73,2.0,6.12,10.42
798,880.55,18.6,0.0,5.24,4.1,1.94,4.5,7.56
799,2405.45,58.75,0.25,14.32,13.11,3.58,11.6,20.27
800,1115.2,28.0,0.0,6.64,5.42,2.5,5.45,9.1
801,990.6,19.5,0.0,5.9,4.14,2.48,5.25,8.76
802,1221.0,28.25,0.0,7.27,5.34,3.5,6.45,9.75
803,782.9,17.25,0.0,4.66,3.87,1.4,3.75,7.05
804,1108.6,22.5,0.0,6.6,4.58,3.25,6.2,8.64
805,1058.0,22.0,0.0,6.3,4.91,2.24,5.68,9.21
806,2573.1,58.0,0.0,15.32,11.99,6.15,14.5,19.62
807,630.9,12.0,0.0,3.76,2.61,1.36,3.75,6.0
808,3280.8,69.5,0.0,19.53,15.34,4.24,20.88,29.34
809,1245.0,20.0,0.0,7.41,5.33,2.4,7.5,11.52
810,633.05,12.5,0.0,3.77,2.78,1.58,3.5,5.43
811,574.25,16.0,0.0,3.42,3.26,1.15,2.68,4.64
812,514.3,15.75,0.0,3.06,3.05,0.8,2.25,4.25
813,2231.35,59.0,0.0,13.28,12.84,3.71,11.0,15.81
814,1193.7,24.5,0.0,7.11,5.25,2.15,6.78,10.05
815,6071.05,122.0,0.2,36.14,30.01,13.94,25.5,52.25
816,2427.55,59.75,0.0,14.45,11.81,5.75,11.2,21.4
817,1869.9,37.25,0.0,11.13,9.87,3.1,6.9,19.29
818,1817.05,32.25,0.2,10.82,9.29,3.42,7.2,18.0
819,2639.9,53.75,0.0,15.71,12.33,6.95,12.62,22.06
820,2354.7,65.0,0.0,14.02,12.94,4.6,9.5,20.25
821,1673.25,45.25,0.0,9.96,8.54,3.5,9.2,13.06
822,433.95,7.75,0.0,2.58,1.94,0.8,2.4,4.0
823,222.95,6.25,0.0,1.33,1.46,0.2,0.8,2.0
824,1320.9,29.25,0.0,7.86,6.88,2.44,5.78,11.62
825,2950.85,54.25,0.0,17.56,12.95,7.42,14.32,25.5
826,3316.2,69.75,0.25,19.74,16.39,5.36,16.48,29.85
827,1098.45,47.75,0.0,6.54,8.22,1.0,3.55,9.0
828,743.7,32.75,0.0,4.43,4.65,1.0,3.55,6.0
829,2021.6,55.75,0.0,12.03,9.92,4.36,11.68,16.5
830,1477.45,45.25,0.0,8.79,8.37,1.71,7.9,12.05
831,1989.2,42.0,0.2,11.84,9.45,3.66,9.5,19.5
832,1370.45,50.5,0.0,8.16,8.33,2.6,5.75,10.85
833,1617.15,33.75,0.2,9.63,7.22,3.75,8.25,14.42
834,995.7,17.75,0.0,5.93,4.39,1.75,5.45,9.0
835,2372.5,71.0,0.0,14.12,14.38,2.0,11.0,19.56
836,2367.05,46.5,0.0,14.09,10.77,4.95,13.0,20.75
837,798.95,15.75,0.0,4.76,3.93,1.25,3.55,7.21
838,1517.9,27.75,0.0,9.04,7.11,3.2,7.75,13.86
839,1594.75,37.25,0.0,9.49,8.01,2.0,7.9,13.52
840,1425.0,31.5,0.0,8.48,6.98,2.66,7.45,12.21
841,284.45,8.8,0.0,1.69,1.58,0.36,1.25,2.6
842,958.85,19.5,0.0,5.71,4.88,1.6,4.25,8.31
843,1097.55,16.2,0.0,6.53,4.07,2.75,7.0,9.43
844,2348.85,50.5,0.2,13.98,10.47,5.24,11.68,21.81
845,3546.15,49.25,0.75,21.11,13.54,10.3,20.0,32.34
846,979.4,93.75,0.0,5.83,10.7,0.2,2.5,7.75
847,1744.9,31.75,0.0,10.39,7.33,3.25,10.4,15.75
848,557.35,11.0,0.0,3.32,2.58,1.0,3.0,5.05
849,1301.8,21.75,0.0,7.75,5.69,2.19,7.78,12.42
850,2746.4,40.0,0.2,16.35,11.09,5.35,16.62,24.81
851,3197.3,61.25,0.6,19.03,14.73,5.19,19.88,28.12
852,6237.75,94.25,1.4,37.13,21.64,17.38,39.3,53.94
853,3477.9,50.75,0.2,20.7,13.74,6.24,23.22,31.06
854,551.9,19.75,0.0,3.29,3.89,0.6,2.0,4.39
855,1240.65,30.25,0.0,7.38,7.51,0.5,6.0,11.0
856,617.5,14.5,0.0,3.68,3.36,1.15,2.45,5.4
857,162.85,4.5,0.0,0.97,0.92,0.25,0.75,1.5
858,190.85,4.5,0.0,1.14,0.93,0.4,1.0,1.75
859,527.35,9.5,0.0,3.14,2.24,1.4,2.75,4.75
860,237.9,6.25,0.0,1.42,1.04,0.6,1.2,2.2
861,341.45,7.5,0.0,2.03,1.67,0.6,1.8,3.0
862,1346.1,23.25,0.0,8.01,5.29,3.25,8.0,11.42
863,163.2,3.25,0.0,0.97,0.82,0.25,0.75,1.5
864,87.3,3.5,0.0,0.52,0.59,0.0,0.4,0.75
865,713.65,17.0,0.4,4.25,2.54,2.25,3.5,5.64
866,130.7,3.5,0.0,0.78,0.66,0.25,0.6,1.2
867,55.0,10.25,0.0,0.33,1.01,0.0,0.0,0.25
868,20.65,1.0,0.0,0.12,0.19,0.0,0.0,0.25
869,178.55,3.5,0.0,1.06,0.72,0.5,1.0,1.4
870,45.4,1.75,0.0,0.27,0.34,0.0,0.2,0.5
871,255.15,4.2,0.0,1.52,0.9,0.8,1.32,2.0
872,21.15,1.0,0.0,0.13,0.19,0.0,0.0,0.25
873,425.25,6.75,0.0,2.53,1.42,1.36,2.6,3.5
874,169.6,4.0,0.0,1.01,0.77,0.5,1.0,1.4
875,265.35,5.5,0.0,1.58,1.07,0.79,1.5,2.2
876,204.4,4.25,0.0,1.22,0.87,0.5,1.0,1.8
877,248.5,4.75,0.0,1.48,0.97,0.75,1.4,2.0
878,171.65,5.0,0.0,1.02,0.93,0.25,0.8,1.5
879,558.0,8.75,0.0,3.32,1.8,1.8,3.2,4.31
880,581.6,7.6,0.0,3.46,1.86,2.0,3.22,4.85
881,33.2,3.0,0.0,0.2,0.36,0.0,0.0,0.25
882,18.05,1.0,0.0,0.11,0.18,0.0,0.0,0.2
883,1739.4,22.25,0.75,10.35,4.71,7.35,10.6,13.25
884,501.6,9.5,0.0,2.99,1.95,1.6,2.75,4.05
885,270.0,6.0,0.0,1.61,1.07,1.0,1.5,2.0
886,257.05,5.25,0.0,1.53,0.95,0.8,1.4,2.0
887,495.45,12.0,0.0,2.95,2.36,1.0,2.5,4.21
888,460.25,6.4,0.0,2.74,1.55,1.75,2.68,3.8
889,334.3,6.0,0.0,1.99,1.22,1.0,2.0,2.75
890,214.95,4.25,0.0,1.28,0.96,0.5,1.0,1.85
891,103.5,2.0,0.0,0.62,0.46,0.25,0.5,1.0
892,6.65,0.5,0.0,0.04,0.1,0.0,0.0,0.0
893,221.1,4.0,0.0,1.32,0.86,0.57,1.25,1.85
894,140.75,5.0,0.0,0.84,0.77,0.25,0.75,1.2
895,86.85,2.0,0.0,0.52,0.45,0.2,0.5,0.75
896,184.85,11.25,0.0,1.1,1.35,0.36,0.8,1.4
897,100.4,3.0,0.0,0.6,0.58,0.0,0.5,1.0
898,304.6,4.5,0.0,1.81,1.0,1.0,1.75,2.5
899,737.85,10.0,0.0,4.39,2.13,2.8,4.25,5.6
900,198.95,4.0,0.0,1.18,0.83,0.5,1.0,1.75
901,85.35,2.6,0.0,0.51,0.46,0.2,0.4,0.75
902,67.35,2.5,0.0,0.4,0.43,0.0,0.25,0.5
903,12.4,1.0,0.0,0.07,0.17,0.0,0.0,0.0
904,114.3,2.5,0.0,0.68,0.53,0.25,0.6,1.0
905,376.65,7.0,0.0,2.24,1.48,1.0,2.0,3.0
906,203.6,4.2,0.0,1.21,0.86,0.5,1.0,1.76
907,406.3,7.0,0.0,2.42,1.55,1.15,2.25,3.29
908,326.0,7.0,0.0,1.94,1.26,1.0,1.8,2.75
909,71.15,2.2,0.0,0.42,0.44,0.0,0.25,0.6
910,277.0,6.0,0.0,1.65,1.35,0.6,1.25,2.29
911,639.65,10.75,0.2,3.81,2.17,2.2,3.5,5.0
912,213.5,4.25,0.0,1.27,0.71,0.75,1.2,1.75
913,359.25,7.75,0.0,2.14,1.29,1.25,2.0,3.0
914,265.1,4.75,0.0,1.58,0.95,0.8,1.55,2.21
915,708.9,16.0,0.0,4.22,3.5,1.5,3.25,6.0
916,254.45,4.75,0.0,1.51,1.1,0.5,1.4,2.2
917,2639.7,57.5,0.4,15.71,12.45,6.38,13.25,21.31
918,2706.95,36.0,1.0,16.11,8.88,8.0,17.65,22.8
919,1353.2,22.25,0.5,8.05,4.91,4.2,7.22,11.5
920,861.8,22.25,0.25,5.13,4.49,1.71,4.0,7.21
921,2301.3,42.0,1.8,13.7,8.37,7.6,12.1,17.27
922,215.95,7.25,0.0,1.29,1.08,0.5,1.0,2.0
923,1027.0,15.75,0.2,6.11,4.1,3.0,5.0,9.21
924,4802.25,88.75,0.4,28.58,18.7,12.24,28.22,41.5
925,2294.25,37.75,0.0,13.66,9.35,6.28,12.5,19.62
926,273.45,7.0,0.0,1.63,1.54,0.25,1.25,2.5
927,1693.9,34.5,0.0,10.08,7.6,3.48,8.45,14.64
928,1601.25,35.75,0.2,9.53,8.09,3.58,6.6,13.05
929,1578.15,41.75,0.0,9.39,7.69,3.19,8.75,12.52
930,1260.65,22.25,0.0,7.5,5.59,2.44,7.0,11.45
931,448.55,9.5,0.0,2.67,1.97,1.0,2.55,4.0
932,1423.85,26.5,0.2,8.48,5.59,3.75,8.22,12.29
933,1871.75,47.25,0.0,11.14,8.42,4.69,10.5,15.29
934,1504.6,25.25,0.2,8.96,5.95,3.58,8.9,13.25
935,740.95,11.5,0.0,4.41,2.55,2.25,4.78,6.0
936,1252.75,28.5,0.0,7.46,5.51,3.0,6.9,10.75
937,1275.35,27.0,0.0,7.59,5.18,2.71,7.6,10.52
938,1458.3,28.5,0.0,8.68,5.26,5.09,8.8,11.31
939,1283.55,26.0,0.0,7.64,5.18,3.75,7.25,10.31
940,639.45,19.0,0.0,3.81,3.68,1.0,3.0,4.85
941,924.4,26.5,0.0,5.5,5.1,2.24,4.22,6.76
942,1251.55,32.0,0.0,7.45,6.19,2.71,6.25,9.75
943,2218.5,47.75,0.4,13.21,10.39,6.25,10.5,17.0
944,1580.3,38.25,0.0,9.41,9.04,2.48,6.45,12.76
945,1228.95,30.0,0.0,7.32,7.02,1.75,5.5,10.75
946,765.25,19.25,0.0,4.56,4.02,1.5,3.62,6.21
947,586.3,14.5,0.0,3.49,3.05,1.25,2.68,4.6
948,1332.3,30.75,0.0,7.93,7.08,1.79,6.25,12.05
949,615.4,12.5,0.0,3.66,2.77,1.5,3.22,5.21
950,1077.5,27.5,0.0,6.41,6.16,2.5,4.55,7.7
951,1203.05,27.0,0.0,7.16,5.85,2.48,6.55,9.52
952,1098.5,21.75,0.0,6.54,4.95,2.95,6.0,9.06
953,440.2,10.5,0.0,2.62,2.28,1.0,2.0,3.75
954,1102.7,19.0,0.0,6.56,4.26,3.24,6.4,9.25
955,978.2,16.0,0.0,5.82,3.91,2.44,6.0,8.0
956,866.65,15.25,0.0,5.16,4.0,1.4,4.75,7.85
957,762.25,13.5,0.0,4.54,3.05,2.15,4.5,6.4
958,1468.15,55.5,0.0,8.74,8.44,1.8,7.62,12.52
959,306.35,7.25,0.0,1.82,1.46,0.6,1.5,3.0
960,88.1,3.0,0.0,0.52,0.53,0.2,0.4,0.8
961,354.25,7.75,0.0,2.11,1.56,1.0,1.8,3.29
962,701.2,31.0,0.0,4.17,4.46,0.6,3.0,6.25
963,454.1,14.0,0.0,2.7,2.53,0.57,2.25,3.8
964,1862.8,40.5,0.0,11.09,8.73,3.79,10.0,16.0
965,762.9,16.0,0.0,4.54,3.28,1.75,4.55,6.29
966,329.65,7.75,0.0,1.96,1.77,0.4,1.6,2.64
967,239.3,9.75,0.0,1.42,1.72,0.2,0.8,2.0
968,441.8,11.75,0.0,2.63,2.78,0.25,1.5,4.29
969,117.75,6.25,0.0,0.7,0.75,0.25,0.5,1.0
970,174.3,3.5,0.0,1.04,0.85,0.25,0.8,1.5
971,398.8,10.4,0.0,2.37,1.84,0.95,2.2,3.25
972,244.1,8.75,0.0,1.45,1.4,0.5,1.2,2.0
973,268.8,7.75,0.0,1.6,1.59,0.25,1.25,2.52
974,1434.35,43.0,0.0,8.54,9.79,1.58,4.25,11.64
975,363.7,11.25,0.0,2.16,2.24,0.71,1.6,2.8
976,493.95,16.25,0.0,2.94,2.38,0.95,2.78,4.2
977,166.2,4.5,0.0,0.99,1.04,0.2,0.6,1.5
978,49.7,2.4,0.0,0.3,0.44,0.0,0.2,0.43
979,127.65,4.0,0.0,0.76,0.85,0.0,0.5,1.2
980,160.35,7.25,0.0,0.95,1.48,0.0,0.25,1.25
981,2343.05,34.75,0.6,13.95,8.69,6.79,12.88,20.29
