taz,sum,max,min,mean,std,25p,50p,75p
783,2607.2,54.0,0.6,15.52,11.33,6.69,14.5,20.64
784,1050.3,26.75,0.0,6.25,5.25,1.95,5.0,9.06
785,1943.85,41.5,0.25,11.57,8.51,5.5,10.5,14.25
786,2152.45,40.8,0.2,12.81,9.31,4.5,11.88,19.06
787,2465.15,37.4,0.6,14.67,9.33,7.0,13.9,21.42
788,1068.75,21.0,0.0,6.36,4.24,3.36,5.75,9.2
789,2188.95,40.2,0.4,13.03,9.52,4.51,12.28,20.29
790,1872.8,34.75,0.2,11.15,8.2,3.71,9.55,17.25
791,1332.25,28.75,0.0,7.93,5.79,3.25,7.75,10.8
792,673.4,12.75,0.0,4.01,2.53,2.2,3.9,5.5
793,1275.4,22.6,0.0,7.59,5.39,3.25,6.5,11.06
794,1361.0,25.5,0.0,8.1,6.18,3.1,7.3,11.56
795,1245.55,21.0,0.0,7.41,5.24,3.2,6.55,11.06
796,497.4,11.25,0.0,2.96,2.4,1.0,2.62,4.5
797,1475.2,36.4,0.0,8.78,7.7,1.94,7.8,13.29
798,1013.75,17.2,0.0,6.03,4.01,2.71,5.88,8.85
799,2977.0,73.25,0.0,17.72,16.92,5.19,13.3,21.06
800,1327.3,38.2,0.2,7.9,6.91,2.36,7.0,10.75
801,1023.8,17.8,0.0,6.09,4.42,2.2,5.55,9.05
802,1066.8,20.6,0.0,6.35,4.74,2.24,5.8,9.52
803,922.65,18.25,0.0,5.49,4.35,2.0,5.0,8.29
804,1045.8,17.8,0.25,6.22,4.22,2.69,6.25,8.4
805,986.65,20.5,0.0,5.87,4.12,2.4,5.55,8.52
806,1954.65,35.0,0.2,11.63,7.35,5.56,12.0,16.0
807,850.45,15.0,0.0,5.06,3.47,2.0,5.32,7.29
808,2997.55,57.25,0.0,17.84,13.52,5.71,18.0,26.31
809,1417.2,20.25,0.0,8.44,5.4,3.75,8.25,13.0
810,837.8,18.8,0.0,4.99,3.84,1.75,4.78,6.91
811,672.35,13.5,0.0,4.0,3.11,1.24,3.5,6.06
812,557.85,14.0,0.0,3.32,2.75,1.0,2.6,5.05
813,2078.1,42.5,0.0,12.37,9.43,3.79,11.25,19.52
814,1206.3,27.25,0.0,7.18,5.17,2.19,7.45,10.0
815,6508.7,158.0,0.75,38.74,33.27,15.8,25.52,55.0
816,2579.75,58.5,0.4,15.36,11.06,7.3,12.88,21.85
817,1581.8,27.75,0.2,9.42,7.32,3.25,7.0,15.52
818,1301.75,25.25,0.0,7.75,6.03,2.95,5.78,12.0
819,2542.9,47.5,0.2,15.14,10.61,7.8,12.9,20.76
820,2840.75,64.0,0.4,16.91,13.99,6.95,12.68,23.12
821,1261.95,39.5,0.0,7.51,7.26,2.58,6.38,9.15
822,523.6,8.5,0.0,3.12,2.34,1.25,2.8,5.0
823,146.0,5.0,0.0,0.87,0.92,0.2,0.6,1.29
824,1678.35,37.75,0.0,9.99,8.21,4.19,7.65,14.85
825,3854.8,68.0,0.6,22.95,15.65,11.85,19.75,33.81
826,4277.15,83.75,0.2,25.46,20.04,8.38,23.9,38.2
827,1519.15,35.75,0.0,9.04,8.13,2.25,6.0,14.45
828,618.95,20.75,0.0,3.68,3.53,0.6,3.4,5.29
829,2601.25,48.75,0.0,15.48,11.04,5.0,16.0,21.94
830,1592.85,38.75,0.0,9.48,6.99,3.42,9.45,13.0
831,2098.25,43.75,0.0,12.49,9.32,4.38,11.0,17.75
832,1709.85,37.0,0.2,10.18,8.24,3.24,8.5,14.25
833,1943.95,36.5,0.0,11.57,8.44,4.19,10.38,17.27
834,1206.8,22.75,0.0,7.18,5.25,2.58,6.75,11.06
835,2402.85,59.0,0.0,14.3,12.22,2.5,13.32,21.81
836,2437.3,43.75,0.2,14.51,10.08,5.19,14.0,21.81
837,974.8,17.8,0.0,5.8,4.64,1.95,4.62,9.0
838,1779.65,36.25,0.0,10.59,8.1,4.32,9.12,16.29
839,1596.15,36.5,0.0,9.5,7.6,2.95,8.45,13.5
840,1756.2,35.25,0.0,10.45,7.78,3.4,10.0,15.42
841,397.1,11.0,0.0,2.36,2.07,0.5,2.0,3.64
842,1219.8,22.75,0.0,7.26,5.49,2.79,6.1,11.0
843,1410.4,26.75,0.0,8.4,5.36,3.48,8.25,12.05
844,2246.2,45.0,0.0,13.37,9.12,5.62,12.6,19.76
845,3194.55,51.0,0.4,19.02,11.27,9.95,18.8,26.52
846,559.4,27.75,0.0,3.33,4.74,0.0,1.55,4.81
847,1729.95,32.5,0.0,10.3,7.61,3.51,9.8,15.81
848,512.25,11.25,0.0,3.05,2.38,1.0,2.75,4.75
849,872.4,14.0,0.0,5.19,3.84,1.75,5.25,7.85
850,3037.7,47.5,0.0,18.08,11.93,6.3,19.0,26.75
851,3363.8,60.25,0.2,20.02,14.25,6.44,20.75,27.76
852,7862.3,94.0,2.2,46.8,25.48,20.95,52.1,67.88
853,4544.85,79.75,0.0,27.05,17.68,9.18,29.7,39.38
854,444.2,10.75,0.0,2.64,2.4,0.57,2.2,4.25
855,885.4,28.25,0.0,5.27,5.82,0.5,3.78,7.43
856,621.7,18.25,0.0,3.7,3.5,1.0,2.45,5.43
857,118.55,3.5,0.0,0.71,0.7,0.24,0.5,1.0
858,158.8,3.75,0.0,0.95,0.82,0.25,0.8,1.4
859,236.1,6.25,0.0,1.41,1.13,0.5,1.25,2.0
860,93.55,3.25,0.0,0.56,0.55,0.15,0.4,0.8
861,192.85,4.0,0.0,1.15,0.99,0.25,1.0,1.75
862,877.7,17.5,0.0,5.22,3.76,2.5,4.8,7.5
863,152.95,3.25,0.0,0.91,0.81,0.25,0.75,1.42
864,71.65,3.0,0.0,0.43,0.54,0.0,0.25,0.6
865,307.75,7.0,0.2,1.83,1.19,1.0,1.68,2.5
866,140.05,4.25,0.0,0.83,0.66,0.25,0.8,1.2
867,50.75,9.75,0.0,0.3,0.93,0.0,0.0,0.25
868,19.05,1.0,0.0,0.11,0.19,0.0,0.0,0.2
869,158.45,4.25,0.0,0.94,0.79,0.4,0.75,1.25
870,40.25,1.5,0.0,0.24,0.29,0.0,0.2,0.4
871,187.8,4.0,0.0,1.12,0.83,0.5,1.0,1.5
872,36.0,1.25,0.0,0.21,0.26,0.0,0.2,0.25
873,437.85,7.25,0.0,2.61,1.61,1.25,2.4,3.5
874,156.35,4.75,0.0,0.93,0.83,0.25,0.8,1.4
875,345.95,5.5,0.0,2.06,1.19,1.15,2.0,3.0
876,241.35,4.5,0.0,1.44,0.95,0.75,1.4,2.0
877,240.3,4.5,0.0,1.43,1.03,0.75,1.25,1.8
878,165.55,4.0,0.0,0.99,0.82,0.4,0.78,1.5
879,376.0,7.0,0.0,2.24,1.49,1.0,2.0,3.0
880,539.35,9.0,0.0,3.21,2.25,1.25,3.0,4.81
881,23.1,2.0,0.0,0.14,0.26,0.0,0.0,0.25
882,23.35,1.0,0.0,0.14,0.22,0.0,0.0,0.2
883,1397.5,23.5,1.2,8.32,4.8,4.5,7.75,11.05
884,240.0,4.75,0.0,1.43,0.99,0.6,1.25,2.0
885,256.75,7.25,0.0,1.53,1.28,0.6,1.25,2.2
886,198.4,4.25,0.0,1.18,0.78,0.6,1.0,1.6
887,656.35,15.4,0.0,3.91,3.1,1.44,3.25,5.52
888,533.9,7.75,0.0,3.18,1.75,1.95,3.0,4.5
889,323.1,7.0,0.0,1.92,1.31,1.0,1.75,2.5
890,232.65,5.25,0.0,1.38,1.11,0.5,1.25,2.0
891,89.15,2.25,0.0,0.53,0.45,0.2,0.5,0.8
892,7.25,1.0,0.0,0.04,0.13,0.0,0.0,0.0
893,145.3,3.75,0.0,0.86,0.69,0.4,0.75,1.25
894,114.7,7.25,0.0,0.68,0.88,0.2,0.5,0.8
895,89.9,3.0,0.0,0.54,0.54,0.2,0.4,0.75
896,184.0,14.75,0.0,1.1,1.55,0.25,0.75,1.4
897,128.35,3.2,0.0,0.76,0.68,0.24,0.6,1.2
898,264.5,3.75,0.0,1.57,0.86,0.8,1.75,2.25
899,483.9,7.5,0.0,2.88,1.36,2.0,2.8,3.8
900,236.1,3.8,0.0,1.41,1.0,0.6,1.25,2.2
901,103.8,3.25,0.0,0.62,0.56,0.2,0.5,1.0
902,84.25,3.25,0.0,0.5,0.52,0.0,0.32,0.75
903,15.95,1.0,0.0,0.09,0.2,0.0,0.0,0.0
904,124.8,2.25,0.0,0.74,0.57,0.25,0.75,1.0
905,300.85,5.25,0.0,1.79,1.27,0.8,1.6,2.6
906,235.1,4.75,0.0,1.4,1.06,0.5,1.25,2.0
907,390.4,7.0,0.0,2.32,1.67,0.95,2.2,3.5
908,315.9,6.75,0.0,1.88,1.31,0.95,1.78,2.75
909,60.2,2.0,0.0,0.36,0.37,0.0,0.25,0.5
910,249.6,6.75,0.0,1.49,1.24,0.5,1.2,2.25
911,426.05,7.0,0.2,2.54,1.46,1.4,2.5,3.29
912,173.95,3.25,0.0,1.04,0.69,0.5,1.0,1.5
913,307.4,5.25,0.0,1.83,1.14,1.0,1.75,2.5
914,199.5,3.75,0.0,1.19,0.79,0.5,1.0,1.8
915,745.95,16.5,0.0,4.44,3.96,1.25,3.25,6.29
916,238.8,5.5,0.0,1.42,1.04,0.75,1.25,2.0
917,2522.9,52.0,0.2,15.02,11.0,6.6,13.38,21.5
918,2698.9,34.0,0.6,16.06,9.04,8.15,17.0,23.31
919,753.05,15.5,0.0,4.48,3.56,1.75,3.6,6.06
920,533.65,15.0,0.0,3.18,3.0,0.95,2.5,4.0
921,2774.8,49.25,1.2,16.52,10.18,9.95,13.68,20.88
