src,dst,distance,length
94102,94102,0.0,short
94102,94103,0.01042339980843647,short
94102,94109,0.013669467137690319,short
94102,94108,0.0165145530663974,short
94102,94115,0.019070418283706987,short
94102,94104,0.0211875530369765,short
94102,94117,0.025304924110935073,short
94102,94133,0.025563875543947734,short
94102,94114,0.026919449636959393,short
94102,94123,0.027127068920703667,short
94102,94105,0.027173821307271057,short
94102,94111,0.027396159417802553,short
94102,94107,0.02902715095979998,short
94102,94110,0.030112422868085516,normal
94102,94131,0.041253853708286915,normal
94102,94118,0.04179993149395606,normal
94102,94129,0.05018908903050286,normal
94102,94124,0.05902806426506703,normal
94102,94127,0.05987063688381849,normal
94102,94134,0.06095284712555035,long
94102,94112,0.0637502958366228,long
94102,94122,0.06766107340237347,long
94102,94121,0.07521961153229739,long
94102,94116,0.07573336349903897,long
94102,94132,0.08824409825654636,long
94103,94103,0.0,short
94103,94102,0.01042339980843647,short
94103,94108,0.01886538436333713,short
94103,94107,0.018866449046513908,short
94103,94104,0.020534930835125344,short
94103,94109,0.02230843333239538,short
94103,94105,0.02324842870512473,short
94103,94110,0.023753297305767033,short
94103,94111,0.027759501099338387,short
94103,94114,0.028713393750629583,short
94103,94115,0.029141216594524566,short
94103,94133,0.03061654084721861,normal
94103,94117,0.0320149710289143,normal
94103,94123,0.03734172244660284,normal
94103,94131,0.04220261628988642,normal
94103,94124,0.04916321401881271,normal
94103,94118,0.05070900841566685,normal
94103,94134,0.054156816797412244,normal
94103,94129,0.060229233143858044,long
94103,94127,0.061554312601247316,long
94103,94112,0.06171204746758075,long
94103,94122,0.07450100276307672,long
94103,94116,0.08062064885782431,long
94103,94121,0.08370730667008902,long
94103,94132,0.09085876345278053,extreme
94104,94104,0.0,short
94104,94108,0.006455086462267177,short
94104,94111,0.007267126441577417,short
94104,94105,0.008618899127124758,short
94104,94133,0.015444971860771251,short
94104,94109,0.019332482320870734,short
94104,94103,0.020534930835125344,short
94104,94102,0.0211875530369765,short
94104,94107,0.026627287195586,short
94104,94123,0.03568238284052889,normal
94104,94115,0.03595827249896206,normal
94104,94110,0.04379163845864546,normal
94104,94117,0.04616670829900347,normal
94104,94114,0.0474689541651481,normal
94104,94118,0.06004585147050366,long
94104,94131,0.06160158083862211,long
94104,94124,0.0624422820290027,long
94104,94129,0.06471905499576058,long
94104,94134,0.07320770834966812,long
94104,94127,0.08062371014890526,long
94104,94112,0.0822015684809602,long
94104,94122,0.08788536720779554,long
94104,94121,0.09347846042352033,extreme
94104,94116,0.09681063677837208,extreme
94104,94132,0.10931691197041489,extreme
94105,94105,0.0,short
94105,94104,0.008618899127124758,short
94105,94111,0.011272887729818023,short
94105,94108,0.014917791994238056,short
94105,94107,0.02242387845980581,short
94105,94133,0.023146978645079693,short
94105,94103,0.02324842870512473,short
94105,94102,0.027173821307271057,short
94105,94109,0.027752892860973443,short
94105,94115,0.04371757878017306,normal
94105,94123,0.04427883992395093,normal
94105,94110,0.04433323050809924,normal
94105,94114,0.05177538446649821,normal
94105,94117,0.05247577003621751,normal
94105,94124,0.05795120040580015,normal
94105,94131,0.06544435491992197,long
94105,94118,0.06771609066984323,long
94105,94134,0.0719919597648173,long
94105,94129,0.07309621393616472,long
94105,94112,0.0842036585407072,long
94105,94127,0.08477113864419467,long
94105,94122,0.09476122822609116,extreme
94105,94121,0.10124079591825523,extreme
94105,94116,0.10270086747653401,extreme
94105,94132,0.11396440773608045,extreme
94107,94107,0.0,short
94107,94103,0.018866449046513908,short
94107,94105,0.02242387845980581,short
94107,94104,0.026627287195586,short
94107,94110,0.02704893769839515,short
94107,94102,0.02902715095979998,short
94107,94108,0.029559528333048812,short
94107,94111,0.03268244117917978,normal
94107,94124,0.03587119917000517,normal
94107,94109,0.03850706620434123,normal
94107,94133,0.04152483137498151,normal
94107,94114,0.042704778679907233,normal
94107,94115,0.047979451646204825,normal
94107,94117,0.04963712803179391,normal
94107,94134,0.05069838385122939,normal
94107,94131,0.05379310341709751,normal
94107,94123,0.054943540643894055,normal
94107,94112,0.06743759847713099,long
94107,94118,0.0692732706831828,long
94107,94127,0.07288359642176413,long
94107,94129,0.07908817961953497,long
94107,94122,0.09134899632528322,extreme
94107,94116,0.09535389123752251,extreme
94107,94121,0.10187390461142856,extreme
94107,94132,0.1025541533526886,extreme
94108,94108,0.0,short
94108,94104,0.006455086462267177,short
94108,94111,0.011019457105421107,short
94108,94133,0.012310868218406372,short
94108,94109,0.012882634107163773,short
94108,94105,0.014917791994238056,short
94108,94102,0.0165145530663974,short
94108,94103,0.01886538436333713,short
94108,94123,0.029401195649395678,short
94108,94107,0.029559528333048812,short
94108,94115,0.029673670399034187,short
94108,94117,0.04069123376137761,normal
94108,94110,0.042617060818395516,normal
94108,94114,0.04339271803710193,normal
94108,94118,0.05375572909344595,normal
94108,94131,0.057699227850413475,normal
94108,94129,0.05826931326600571,normal
94108,94124,0.06474531861899095,long
94108,94134,0.0729043155324338,long
94108,94127,0.07638514056797537,long
94108,94112,0.07945748318055523,long
94108,94122,0.08193875082736309,long
94108,94121,0.08713291711652467,long
94108,94116,0.09140295286178367,extreme
94108,94132,0.1046540027378482,extreme
94109,94109,0.0,short
94109,94108,0.012882634107163773,short
94109,94102,0.013669467137690319,short
94109,94133,0.014566392474714777,short
94109,94123,0.017002724607204953,short
94109,94115,0.017800150667994716,short
94109,94104,0.019332482320870734,short
94109,94103,0.02230843333239538,short
94109,94111,0.022324292366140124,short
94109,94105,0.027752892860973443,short
94109,94117,0.031400038167209085,normal
94109,94114,0.03792557802067829,normal
